Date,Ticker,Nom,Prix Achat (€),Target (€),Potentiel %,Prix Actuel (€),Perf %,Stop-Loss (€),Statut,Jours
13/04/2026,ALO.PA,ALSTOM,22.32,24.55,9.99%,16.1,-27.87%,20.8,Stop-loss touché,4
13/04/2026,ORA.PA,ORANGE,17.67,19.5,10.36%,17.56,-0.62%,16.5,En cours,15
13/04/2026,HO.PA,THALES,265.6,295.0,11.07%,232.8,-12.35%,240.0,Stop-loss touché,12
14/04/2026,TTE.PA,TOTALENERGIES,79.5,88.0,10.69%,72.94,-8.25%,73.0,Stop-loss touché,3
14/04/2026,HO.PA,THALES,266.0,295.0,10.9%,232.8,-12.48%,240.0,Stop-loss touché,11
14/04/2026,CAP.PA,CAPGEMINI,103.9,115.0,10.68%,99.68,-4.06%,95.0,En cours,14
14/04/2026,MC.PA,LVMH,472.5,530.0,12.17%,459.2,-2.81%,440.0,En cours,14
14/04/2026,ALO.PA,ALSTOM,22.76,25.5,12.04%,16.1,-29.26%,20.8,Stop-loss touché,3
14/04/2026,ORA.PA,ORANGE,17.69,19.5,10.23%,17.56,-0.73%,16.8,En cours,14
15/04/2026,TTE.PA,TOTALENERGIES,77.39,86.0,11.13%,78.54,+1.49%,72.0,En cours,13
15/04/2026,HO.PA,THALES,267.0,295.0,10.49%,242.0,-9.36%,243.0,Stop-loss touché,8
15/04/2026,CAP.PA,CAPGEMINI,104.7,118.0,12.7%,99.68,-4.79%,97.0,En cours,13
15/04/2026,RMS.PA,HERMÈS,1626.5,1830.0,12.51%,1638.5,+0.74%,1450.0,En cours,13
15/04/2026,DG.PA,VINCI,134.15,148.0,10.32%,128.6,-4.14%,122.0,En cours,13
15/04/2026,SAN.PA,SANOFI,81.52,90.0,10.4%,79.14,-2.92%,75.0,En cours,13
16/04/2026,DG.PA,VINCI,133.9,148.0,10.53%,128.6,-3.96%,123.0,En cours,12
16/04/2026,RMS.PA,HERMÈS,1636.5,1837.0,12.25%,1638.5,+0.12%,1475.0,En cours,12
16/04/2026,SGO.PA,SAINT-GOBAIN,76.3,84.0,10.09%,77.38,+1.42%,68.0,En cours,12
16/04/2026,HO.PA,THALES,266.3,295.0,10.78%,242.0,-9.13%,242.0,Stop-loss touché,7
16/04/2026,MC.PA,LVMH,485.45,540.0,11.24%,459.2,-5.41%,450.0,En cours,12
17/04/2026,HO.PA,THALES,267.4,295.0,10.32%,242.0,-9.5%,243.0,Stop-loss touché,6
17/04/2026,MC.PA,LVMH,484.05,540.0,11.56%,459.2,-5.13%,450.0,En cours,11
17/04/2026,BNP.PA,BNP PARIBAS,90.44,100.0,10.57%,90.1,-0.38%,82.0,En cours,11
17/04/2026,SAN.PA,SANOFI,82.04,92.0,12.14%,79.14,-3.53%,76.5,En cours,11
17/04/2026,TTE.PA,TOTALENERGIES,72.94,81.0,11.05%,78.54,+7.68%,68.5,En cours,11
18/04/2026,SAN.PA,SANOFI,82.02,91.0,10.95%,79.14,-3.51%,76.5,En cours,10
18/04/2026,TTE.PA,TOTALENERGIES,73.07,81.0,10.85%,78.54,+7.49%,68.5,En cours,10
18/04/2026,HO.PA,THALES,264.6,295.0,11.49%,232.8,-12.02%,240.0,Stop-loss touché,7
19/04/2026,SAN.PA,SANOFI,82.02,91.0,10.95%,79.14,-3.51%,76.5,En cours,9
19/04/2026,TTE.PA,TOTALENERGIES,73.07,81.0,10.85%,78.54,+7.49%,68.5,En cours,9
19/04/2026,HO.PA,THALES,264.6,295.0,11.49%,232.8,-12.02%,240.0,Stop-loss touché,6
20/04/2026,SAN.PA,SANOFI,82.02,92.0,12.17%,79.14,-3.51%,76.5,En cours,8
20/04/2026,TTE.PA,TOTALENERGIES,73.07,81.0,10.85%,78.54,+7.49%,68.5,En cours,8
20/04/2026,HO.PA,THALES,264.6,295.0,11.49%,232.8,-12.02%,240.0,Stop-loss touché,5
20/04/2026,VIE.PA,VEOLIA ENVIRONNEMENT,35.35,39.0,10.33%,35.82,+1.33%,31.5,En cours,8
21/04/2026,SAN.PA,SANOFI,82.03,92.0,12.15%,79.14,-3.52%,76.5,En cours,7
21/04/2026,TTE.PA,TOTALENERGIES,74.41,82.0,10.2%,78.54,+5.55%,69.5,En cours,7
21/04/2026,HO.PA,THALES,263.3,295.0,12.04%,232.8,-11.58%,238.0,Stop-loss touché,4
21/04/2026,VIE.PA,VEOLIA ENVIRONNEMENT,35.35,39.0,10.33%,35.82,+1.33%,31.5,En cours,7
21/04/2026,MC.PA,LVMH,490.2,545.0,11.18%,459.2,-6.32%,455.0,En cours,7
22/04/2026,SAN.PA,SANOFI,81.02,92.0,13.55%,79.14,-2.32%,75.5,En cours,6
22/04/2026,VIE.PA,VEOLIA ENVIRONNEMENT,35.28,39.5,11.96%,35.82,+1.53%,31.5,En cours,6
22/04/2026,AI.PA,L'AIR LIQUIDE,186.44,205.0,9.95%,179.84,-3.54%,175.0,En cours,6
22/04/2026,PUB.PA,PUBLICIS GROUPE,78.16,86.0,10.03%,79.0,+1.07%,70.0,En cours,6
22/04/2026,HO.PA,THALES,243.1,270.0,11.07%,228.6,-5.96%,227.0,En cours,6
